outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,65+,Overall,2010;2015,2,196.8717796937109,200.85470878792685,False,2.8499083826166327
Incidence,65+,Overall,2010;2016,2,194.9801962363573,198.96312533057326,False,2.7360588739802094
Incidence,65+,Overall,2010;2017,2,193.33487136600354,197.3178004602195,False,2.6499459274110215
Incidence,65+,Overall,2010;2018,2,186.25937367906704,190.242302773283,False,2.201077609846524
Incidence,65+,Overall,2010;2019,2,179.12412897554952,183.1070580697655,False,1.75863748889058
Incidence,65+,Overall,2011;2015,2,195.44727798014173,199.4302070743577,False,2.7636002846664622
Incidence,65+,Overall,2011;2016,2,193.91541097407367,197.89834006828963,False,2.675099258550763
Incidence,65+,Overall,2011;2017,2,192.60030363874375,196.58323273295971,False,2.611906342013164
Incidence,65+,Overall,2011;2018,2,185.35425926148218,189.33718835569815,False,2.150542895451245
Incidence,65+,Overall,2011;2019,2,178.27496895740978,182.25789805162574,False,1.7102254853166379
Incidence,65+,Overall,2012;2016,2,193.16927264177286,197.15220173598883,False,2.6327558683503445
Incidence,65+,Overall,2012;2017,2,192.27814775482545,196.26107684904142,False,2.5978427070682764
Incidence,65+,Overall,2012;2018,2,184.8483489144387,188.83127800865466,False,2.122313323706287
Incidence,65+,Overall,2012;2019,2,177.838948238012,181.82187733222796,False,1.6847856275474815
