outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,50-64,Distant,2012;2016,2,165.37669672180806,169.15445263847383,False,2.412280033408192
Incidence,50-64,Distant,2012;2017,2,164.81183925356436,168.58959517023013,False,2.3712277886708355
Incidence,50-64,Distant,2012;2018,2,164.89131734441384,168.6690732610796,False,2.3785667662026997
Incidence,50-64,Distant,2012;2019,2,164.98641483266374,168.7641707493295,False,2.3919023707820486
Incidence,50-64,Distant,2013;2017,2,164.60476854749157,168.38252446415734,False,2.361207514102487
Incidence,50-64,Distant,2013;2018,2,164.80745646857252,168.5852123852383,False,2.377573121871325
Incidence,50-64,Distant,2013;2019,2,164.98398672639945,168.76174264306522,False,2.3976205571636244
Incidence,50-64,Distant,2014;2018,2,164.26864523441924,168.046401151085,False,2.344378716352182
Incidence,50-64,Distant,2014;2019,2,164.64967409436474,168.4274300110305,False,2.3804515648482183
Incidence,50-64,Distant,2015;2019,2,164.16718680857605,167.94494272524182,False,2.352212004109167
Incidence,50-64,Localized,None,0,138.15640354214855,140.04528150048142,False,1.744432639700546
Incidence,50-64,Localized,2008,1,139.67249541163994,142.50581234913926,False,1.8304275427139793
Incidence,50-64,Localized,2009,1,139.84519017145624,142.67850710895556,False,1.839714657730252
Incidence,50-64,Localized,2010,1,140.15597047590987,142.9892874134092,False,1.8537918397963689
Incidence,50-64,Localized,2011,1,139.96417190020614,142.79748883770546,False,1.8317978197785232
Incidence,50-64,Localized,2012,1,139.49234314804025,142.32566008553957,False,1.7921162881920882
Incidence,50-64,Localized,2013,1,138.80893032307318,141.6422472605725,False,1.7407473765952122
Incidence,50-64,Localized,2014,1,137.64360770685212,140.47692464435144,False,1.6587325495729208
Incidence,50-64,Localized,2015,1,136.64365512561056,139.47697206310988,False,1.5926201466560388
Incidence,50-64,Localized,2016,1,135.03964281550333,137.87295975300265,False,1.490419441270177
Incidence,50-64,Localized,2017,1,132.88113166703255,135.7144486045319,False,1.3584570153523494
Incidence,50-64,Localized,2018,1,131.3860912660549,134.21940820355422,False,1.2727760032440694
Incidence,50-64,Localized,2019,1,131.69456004540075,134.5278769829001,False,1.3034629543934875
Incidence,50-64,Localized,2008;2012,2,136.47450471561314,140.2522606322789,False,1.5538982857027153
Incidence,50-64,Localized,2008;2013,2,135.48114627506197,139.2589021917277,False,1.4883800545365278
Incidence,50-64,Localized,2008;2014,2,133.75382569978848,137.53158161645425,False,1.3694912704939834
Incidence,50-64,Localized,2008;2015,2,132.91282372530014,136.6905796419659,False,1.319156872992428
Incidence,50-64,Localized,2008;2016,2,131.16771299640482,134.94546891307056,False,1.2055846295315995
Incidence,50-64,Localized,2008;2017,2,128.84664798635566,132.62440390302143,False,1.0557665153902038
Incidence,50-64,Localized,2008;2018,2,127.76354539519964,131.5413013118654,False,1.0
Incidence,50-64,Localized,2008;2019,2,129.08628924237297,132.8640451590387,False,1.106350406610844
Incidence,50-64,Localized,2009;2013,2,133.8127996204848,137.59055553715058,False,1.3781462930565855
Incidence,50-64,Localized,2009;2014,2,132.19692487238564,135.97468078905138,False,1.26671926673265
Incidence,50-64,Localized,2009;2015,2,131.66559480480026,135.443350721466,False,1.238713547473463
Incidence,50-64,Localized,2009;2016,2,130.04012077832328,133.81787669498905,False,1.1327217659062396
Incidence,50-64,Localized,2009;2017,2,127.79250802490569,131.57026394157145,False,1.0
Incidence,50-64,Localized,2009;2018,2,126.91774714745505,130.6955030641208,True,1.0
Incidence,50-64,Localized,2009;2019,2,128.5609171284072,132.33867304507294,False,1.0753631767212086
Incidence,50-64,Localized,2010;2014,2,133.66637457407052,137.44413049073628,False,1.3664977865518966
Incidence,50-64,Localized,2010;2015,2,133.14756429448244,136.92532021114818,False,1.3405398336825078
Incidence,50-64,Localized,2010;2016,2,131.47728380688426,135.25503972355,False,1.2315172373082288
Incidence,50-64,Localized,2010;2017,2,129.190609351899,132.96836526856478,False,1.0828525686908315
